"SN","MOVIES","VOTES","RATING","GROSS"
"1","The Hitman's Bodyguard","205979","6.9","75470000"
"2","Jurassic Park","897444","8.1","402450000"
"3","Don't Breathe","237601","7.1","89220000"
"4","The Lord of the Rings: The Fellowship of the Ring","1713030","8.8","315540000"
"5","Escape Room","99351","6.4","57010000"
"6","Jaws","558731","8","260000000"
"7","The Departed","1227520","8.5","132380000"
"8","Gone Girl","895888","8.1","167770000"
"9","Jumanji: Welcome to the Jungle","337900","6.9","404520000"
"10","American Psycho","517014","7.6","15070000"
"11","Kill Bill: Vol. 1","1034550","8.1","70100000"
"12","300","751815","7.6","210610000"
"13","It","480607","7.3","327480000"
"14","Spider-Man: Far from Home","363012","7.5","390530000"
"15","The Hobbit: An Unexpected Journey","774632","7.8","303000000"
"16","Clueless","194461","6.8","56630000"
"17","Baywatch","170844","5.5","58060000"
"18","Fast & Furious 7","371194","7.1","353010000"
"19","Sicario","387903","7.6","46890000"
"20","The Irishman","345455","7.8","7000000"
"21","The Lord of the Rings: The Return of the King","1691780","8.9","377850000"
"22","Baby Driver","468655","7.6","107830000"
"23","Spider-Man","709684","7.3","403710000"
"24","Jumanji: The Next Level","205638","6.7","316830000"
"25","Arrival","623912","7.9","100550000"
"26","Taxi Driver","752553","8.2","28260000"
"27","Grease","250587","7.2","188760000"
"28","Venom","390167","6.7","213520000"
"29","The Fate of the Furious","215795","6.6","226010000"
"30","Captain America: Civil War","697750","7.8","408080000"
"31","Sen to Chihiro no kamikakushi","682809","8.6","10060000"
"32","The Girl in the Spider's Web","43896","6.1","14840000"
"33","Kong: Skull Island","294292","6.6","168050000"
"34","The Revenant","732244","8","183640000"
"35","The Lord of the Rings: The Two Towers","1529750","8.7","342550000"
"36","Legally Blonde","195752","6.3","96520000"
"37","Ocean's Eight","197909","6.3","140220000"
"38","Pirates of the Caribbean: Dead Men Tell No Tales","276173","6.5","172560000"
"39","2001: A Space Odyssey","622998","8.3","56950000"
"40","Batman v Superman: Dawn of Justice","657423","6.4","330360000"
"41","Mother!","201141","6.6","17800000"
"42","National Lampoon's Animal House","115289","7.5","200000"
"43","Midnight in Paris","399157","7.7","56820000"
"44","Kill Bill: Vol. 2","706053","8","66209999"
"45","Moneyball","386263","7.6","75610000"
"46","Snowpiercer","335946","7.1","4560000"
"47","300: Rise of an Empire","286734","6.2","106580000"
"48","Kimi no na wa.","217433","8.4","5020000"
"49","Booksmart","103143","7.2","22680000"
"50","Jaws 2","73931","5.8","102920000"
"51","Tropic Thunder","391033","7","110520000"
"52","Beauty and the Beast","284484","7.1","504010000"
"53","Hell or High Water","211816","7.6","26860000"
"54","Marriage Story","266307","7.9","2000000"
"55","Annihilation","293459","6.8","32729999"
"56","Wind River","218337","7.7","33800000"
"57","Frozen","586769","7.4","400740000"
"58","Lo imposible","208903","7.6","19020000"
"59","The Nice Guys","295435","7.4","36260000"
"60","The Snowman","60354","5.1","6670000"
"61","Moonrise Kingdom","328550","7.8","45510000"
"62","Contagion","290444","6.7","75660000"
"63","This Is England","117889","7.7","330000"
"64","Willy Wonka & the Chocolate Factory","186202","7.8","4000000"
"65","Homefront","113476","6.5","20160000"
"66","Dead Poets Society","443357","8.1","95860000"
"67","There's Something About Mary","298729","7.1","176480000"
"68","Lucy","462122","6.4","126660000"
"69","The Mummy","177592","5.4","80100000"
"70","Birdman or (The Unexpected Virtue of Ignorance)","595946","7.7","42340000"
"71","Knock Knock","87474","4.9","40000"
"72","Hauru no ugoku shiro","351466","8.2","4710000"
"73","Now You See Me","614056","7.2","117720000"
"74","The Lost World: Jurassic Park","390425","6.6","229090000"
"75","Geostorm","99724","5.3","33700000"
"76","Sausage Party","181775","6.1","97690000"
"77","The Next Three Days","189815","7.3","21150000"
"78","Moonlight","285273","7.4","27850000"
"79","In the Heart of the Sea","128605","6.9","25020000"
"80","Contact","261289","7.5","100920000"
"81","Climax","58051","7","800000"
"82","Gods of Egypt","109959","5.4","31150000"
"83","Kung Fu Panda 3","141657","7.1","143530000"
"84","Ender's Game","228812","6.6","61740000"
"85","Planet of the Apes","170681","8","33400000"
"86","Downsizing","102222","5.7","24450000"
"87","Lone Survivor","273061","7.5","125100000"
"88","The Founder","134759","7.2","12790000"
"89","Mononoke-hime","359473","8.4","2380000"
"90","101 Dalmatians","106580","5.7","136190000"
"91","Rampage","151688","6.1","101030000"
"92","The Croods","200206","7.2","187170000"
"93","The Firm","124972","6.8","158350000"
"94","The Clovehitch Killer","21572","6.6","10000"
"95","Death Wish","68094","6.3","34020000"
"96","The Blues Brothers","188459","7.9","57230000"
"97","Unknown","253999","6.8","63690000"
"98","Hunt for the Wilderpeople","118166","7.9","5200000"
"99","Monty Python and the Holy Grail","513289","8.2","1230000"
"100","The Best of Enemies","13196","7.2","10210000"
"101","Atomic Blonde","182505","6.7","51690000"
"102","Rango","245778","7.2","123480000"
"103","The Lucky One","103765","6.5","60460000"
"104","Spy Kids","111413","5.5","112720000"
